"MTU (UTC)","Area","Sequence","Day-ahead Price (GBP/MWh)","Intraday Period (UTC)","Intraday Price (GBP/MWh)"
"01/01/2015 00:00:00 - 01/01/2015 01:00:00","BZN|GB","Without Sequence","0.00","",""
"01/01/2015 01:00:00 - 01/01/2015 02:00:00","BZN|GB","Without Sequence","0.00","",""
"01/01/2015 02:00:00 - 01/01/2015 03:00:00","BZN|GB","Without Sequence","0.00","",""
"01/01/2015 03:00:00 - 01/01/2015 04:00:00","BZN|GB","Without Sequence","0.00","",""
"01/01/2015 04:00:00 - 01/01/2015 05:00:00","BZN|GB","Without Sequence","0.00","",""
"01/01/2015 05:00:00 - 01/01/2015 06:00:00","BZN|GB","Without Sequence","0.00","",""
"01/01/2015 06:00:00 - 01/01/2015 07:00:00","BZN|GB","Without Sequence","0.00","",""
"01/01/2015 07:00:00 - 01/01/2015 08:00:00","BZN|GB","Without Sequence","0.00","",""
"01/01/2015 08:00:00 - 01/01/2015 09:00:00","BZN|GB","Without Sequence","0.00","",""
"01/01/2015 09:00:00 - 01/01/2015 10:00:00","BZN|GB","Without Sequence","0.00","",""
"01/01/2015 10:00:00 - 01/01/2015 11:00:00","BZN|GB","Without Sequence","0.00","",""
"01/01/2015 11:00:00 - 01/01/2015 12:00:00","BZN|GB","Without Sequence","0.00","",""
"01/01/2015 12:00:00 - 01/01/2015 13:00:00","BZN|GB","Without Sequence","0.00","",""
"01/01/2015 13:00:00 - 01/01/2015 14:00:00","BZN|GB","Without Sequence","0.00","",""
"01/01/2015 14:00:00 - 01/01/2015 15:00:00","BZN|GB","Without Sequence","0.00","",""
"01/01/2015 15:00:00 - 01/01/2015 16:00:00","BZN|GB","Without Sequence","0.00","",""
"01/01/2015 16:00:00 - 01/01/2015 17:00:00","BZN|GB","Without Sequence","0.00","",""
"01/01/2015 17:00:00 - 01/01/2015 18:00:00","BZN|GB","Without Sequence","0.00","",""
"01/01/2015 18:00:00 - 01/01/2015 19:00:00","BZN|GB","Without Sequence","0.00","",""
"01/01/2015 19:00:00 - 01/01/2015 20:00:00","BZN|GB","Without Sequence","0.00","",""
"01/01/2015 20:00:00 - 01/01/2015 21:00:00","BZN|GB","Without Sequence","0.00","",""
"01/01/2015 21:00:00 - 01/01/2015 22:00:00","BZN|GB","Without Sequence","0.00","",""
"01/01/2015 22:00:00 - 01/01/2015 23:00:00","BZN|GB","Without Sequence","0.00","",""
"01/01/2015 23:00:00 - 02/01/2015 00:00:00","BZN|GB","Without Sequence","29.51","",""
"02/01/2015 00:00:00 - 02/01/2015 01:00:00","BZN|GB","Without Sequence","27.94","",""
"02/01/2015 01:00:00 - 02/01/2015 02:00:00","BZN|GB","Without Sequence","25.50","",""
"02/01/2015 02:00:00 - 02/01/2015 03:00:00","BZN|GB","Without Sequence","20.92","",""
"02/01/2015 03:00:00 - 02/01/2015 04:00:00","BZN|GB","Without Sequence","17.38","",""
"02/01/2015 04:00:00 - 02/01/2015 05:00:00","BZN|GB","Without Sequence","19.85","",""
"02/01/2015 05:00:00 - 02/01/2015 06:00:00","BZN|GB","Without Sequence","20.67","",""
"02/01/2015 06:00:00 - 02/01/2015 07:00:00","BZN|GB","Without Sequence","25.36","",""
"02/01/2015 07:00:00 - 02/01/2015 08:00:00","BZN|GB","Without Sequence","32.00","",""
"02/01/2015 08:00:00 - 02/01/2015 09:00:00","BZN|GB","Without Sequence","35.09","",""
"02/01/2015 09:00:00 - 02/01/2015 10:00:00","BZN|GB","Without Sequence","39.34","",""
"02/01/2015 10:00:00 - 02/01/2015 11:00:00","BZN|GB","Without Sequence","37.45","",""
"02/01/2015 11:00:00 - 02/01/2015 12:00:00","BZN|GB","Without Sequence","39.73","",""
"02/01/2015 12:00:00 - 02/01/2015 13:00:00","BZN|GB","Without Sequence","44.07","",""
"02/01/2015 13:00:00 - 02/01/2015 14:00:00","BZN|GB","Without Sequence","39.82","",""
"02/01/2015 14:00:00 - 02/01/2015 15:00:00","BZN|GB","Without Sequence","36.54","",""
"02/01/2015 15:00:00 - 02/01/2015 16:00:00","BZN|GB","Without Sequence","36.52","",""
"02/01/2015 16:00:00 - 02/01/2015 17:00:00","BZN|GB","Without Sequence","47.97","",""
"02/01/2015 17:00:00 - 02/01/2015 18:00:00","BZN|GB","Without Sequence","80.00","",""
"02/01/2015 18:00:00 - 02/01/2015 19:00:00","BZN|GB","Without Sequence","56.72","",""
"02/01/2015 19:00:00 - 02/01/2015 20:00:00","BZN|GB","Without Sequence","37.13","",""
"02/01/2015 20:00:00 - 02/01/2015 21:00:00","BZN|GB","Without Sequence","44.52","",""
"02/01/2015 21:00:00 - 02/01/2015 22:00:00","BZN|GB","Without Sequence","37.09","",""
"02/01/2015 22:00:00 - 02/01/2015 23:00:00","BZN|GB","Without Sequence","36.86","",""
"02/01/2015 23:00:00 - 03/01/2015 00:00:00","BZN|GB","Without Sequence","35.77","",""
"03/01/2015 00:00:00 - 03/01/2015 01:00:00","BZN|GB","Without Sequence","35.94","",""
"03/01/2015 01:00:00 - 03/01/2015 02:00:00","BZN|GB","Without Sequence","35.65","",""
"03/01/2015 02:00:00 - 03/01/2015 03:00:00","BZN|GB","Without Sequence","33.02","",""
"03/01/2015 03:00:00 - 03/01/2015 04:00:00","BZN|GB","Without Sequence","32.00","",""
"03/01/2015 04:00:00 - 03/01/2015 05:00:00","BZN|GB","Without Sequence","31.72","",""
"03/01/2015 05:00:00 - 03/01/2015 06:00:00","BZN|GB","Without Sequence","35.93","",""
"03/01/2015 06:00:00 - 03/01/2015 07:00:00","BZN|GB","Without Sequence","35.95","",""
"03/01/2015 07:00:00 - 03/01/2015 08:00:00","BZN|GB","Without Sequence","36.03","",""
"03/01/2015 08:00:00 - 03/01/2015 09:00:00","BZN|GB","Without Sequence","37.42","",""
"03/01/2015 09:00:00 - 03/01/2015 10:00:00","BZN|GB","Without Sequence","39.93","",""
