"MTU (UTC)","Area","Sequence","Day-ahead Price (GBP/MWh)","Intraday Period (UTC)","Intraday Price (GBP/MWh)"
"01/01/2018 00:00:00 - 01/01/2018 01:00:00","BZN|GB","Without Sequence","47.14","",""
"01/01/2018 01:00:00 - 01/01/2018 02:00:00","BZN|GB","Without Sequence","54.60","",""
"01/01/2018 02:00:00 - 01/01/2018 03:00:00","BZN|GB","Without Sequence","46.63","",""
"01/01/2018 03:00:00 - 01/01/2018 04:00:00","BZN|GB","Without Sequence","39.90","",""
"01/01/2018 04:00:00 - 01/01/2018 05:00:00","BZN|GB","Without Sequence","23.41","",""
"01/01/2018 05:00:00 - 01/01/2018 06:00:00","BZN|GB","Without Sequence","23.61","",""
"01/01/2018 06:00:00 - 01/01/2018 07:00:00","BZN|GB","Without Sequence","29.96","",""
"01/01/2018 07:00:00 - 01/01/2018 08:00:00","BZN|GB","Without Sequence","24.09","",""
"01/01/2018 08:00:00 - 01/01/2018 09:00:00","BZN|GB","Without Sequence","24.14","",""
"01/01/2018 09:00:00 - 01/01/2018 10:00:00","BZN|GB","Without Sequence","42.00","",""
"01/01/2018 10:00:00 - 01/01/2018 11:00:00","BZN|GB","Without Sequence","57.00","",""
"01/01/2018 11:00:00 - 01/01/2018 12:00:00","BZN|GB","Without Sequence","43.40","",""
"01/01/2018 12:00:00 - 01/01/2018 13:00:00","BZN|GB","Without Sequence","51.86","",""
"01/01/2018 13:00:00 - 01/01/2018 14:00:00","BZN|GB","Without Sequence","55.00","",""
"01/01/2018 14:00:00 - 01/01/2018 15:00:00","BZN|GB","Without Sequence","55.00","",""
"01/01/2018 15:00:00 - 01/01/2018 16:00:00","BZN|GB","Without Sequence","57.88","",""
"01/01/2018 16:00:00 - 01/01/2018 17:00:00","BZN|GB","Without Sequence","57.97","",""
"01/01/2018 17:00:00 - 01/01/2018 18:00:00","BZN|GB","Without Sequence","75.10","",""
"01/01/2018 18:00:00 - 01/01/2018 19:00:00","BZN|GB","Without Sequence","57.97","",""
"01/01/2018 19:00:00 - 01/01/2018 20:00:00","BZN|GB","Without Sequence","51.49","",""
"01/01/2018 20:00:00 - 01/01/2018 21:00:00","BZN|GB","Without Sequence","55.44","",""
"01/01/2018 21:00:00 - 01/01/2018 22:00:00","BZN|GB","Without Sequence","50.54","",""
"01/01/2018 22:00:00 - 01/01/2018 23:00:00","BZN|GB","Without Sequence","38.46","",""
"01/01/2018 23:00:00 - 02/01/2018 00:00:00","BZN|GB","Without Sequence","33.96","",""
"02/01/2018 00:00:00 - 02/01/2018 01:00:00","BZN|GB","Without Sequence","44.88","",""
"02/01/2018 01:00:00 - 02/01/2018 02:00:00","BZN|GB","Without Sequence","49.95","",""
"02/01/2018 02:00:00 - 02/01/2018 03:00:00","BZN|GB","Without Sequence","46.72","",""
"02/01/2018 03:00:00 - 02/01/2018 04:00:00","BZN|GB","Without Sequence","46.71","",""
"02/01/2018 04:00:00 - 02/01/2018 05:00:00","BZN|GB","Without Sequence","45.82","",""
"02/01/2018 05:00:00 - 02/01/2018 06:00:00","BZN|GB","Without Sequence","45.66","",""
"02/01/2018 06:00:00 - 02/01/2018 07:00:00","BZN|GB","Without Sequence","52.00","",""
"02/01/2018 07:00:00 - 02/01/2018 08:00:00","BZN|GB","Without Sequence","43.87","",""
"02/01/2018 08:00:00 - 02/01/2018 09:00:00","BZN|GB","Without Sequence","56.15","",""
"02/01/2018 09:00:00 - 02/01/2018 10:00:00","BZN|GB","Without Sequence","61.92","",""
"02/01/2018 10:00:00 - 02/01/2018 11:00:00","BZN|GB","Without Sequence","56.33","",""
"02/01/2018 11:00:00 - 02/01/2018 12:00:00","BZN|GB","Without Sequence","56.15","",""
"02/01/2018 12:00:00 - 02/01/2018 13:00:00","BZN|GB","Without Sequence","55.35","",""
"02/01/2018 13:00:00 - 02/01/2018 14:00:00","BZN|GB","Without Sequence","44.81","",""
"02/01/2018 14:00:00 - 02/01/2018 15:00:00","BZN|GB","Without Sequence","42.74","",""
"02/01/2018 15:00:00 - 02/01/2018 16:00:00","BZN|GB","Without Sequence","44.91","",""
